@@(#)$CDS: Archiver version 16.6-p001 (v16-6-112A) 9/10/2012
Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\_ku_v1_0, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\will_mos_n, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\rcl\r, from library rcl

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\rcl_s\r_s, from library rcl_s

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\ns_lm25069pmme_2, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\rcl\c, from library rcl

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\ti\ti_csd16403q5a, from library ti

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\ltm4644iy#pbf, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\rcl_s\c_s, from library rcl_s

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\r_short, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\mps_mpm3632c, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\adi_ltm4638, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\adi_adp7159, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\sem_sc4215hsetrt, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\ad_adp1763, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\worklib\adi_adp7104, from library _ku_v1_0

Archiving cellview D:\HW\01_project\ku\sch\v1_0\_ku_v1_0_archive_0725\archive_libs\murata\mur_blm18, from library murata

